Latitude1,Longitude1,Latitude2,Longitude2,Distance
10.7665974,106.6764087,10.7688714,106.6767122,255.0
10.7765539,106.6533297,10.7763806,106.6528986,50.0
10.77051,106.6608836,10.7714691,106.6604866,115.0
10.7756531,106.7060822,10.774986,106.7060302,74.0
10.7747742,106.6757943,10.774436,106.6772992,168.0
10.7738237,106.6778523,10.774436,106.6772992,91.0
10.7730152,106.7050529,10.7718772,106.7057885,149.0
10.7757983,106.6549425,10.7766665,106.6541687,128.0
10.7768786,106.6641612,10.7752318,106.6657437,251.0
10.7659944,106.6658229,10.7661113,106.6648801,103.0
10.7706397,106.6826915,10.7727502,106.6834403,248.0
10.7721764,106.6545092,10.7718527,106.6545823,36.0
10.771178,106.6545147,10.7709303,106.6565817,227.0
10.7712,106.6807953,10.7688714,106.6767122,515.0
10.7711107,106.6929583,10.7746878,106.6932328,398.0
10.7768786,106.6641612,10.7771755,106.6645445,53.0
10.7663638,106.698731,10.7688473,106.6937407,611.0
10.7650769,106.6706056,10.7651882,106.6710812,53.0
10.776881,106.6838875,10.7748125,106.6821671,297.0
10.7738237,106.6778523,10.7716546,106.6810808,427.0
10.7770935,106.656223,10.7755656,106.6567588,179.0
10.7716546,106.6810808,10.7703203,106.6818152,168.0
10.776941,106.705879,10.7772268,106.7057341,35.0
10.7660569,106.6623677,10.7681095,106.6616453,241.0
10.7696381,106.6928798,10.7707599,106.6924572,133.0
10.7743974,106.6674162,10.7752318,106.6657437,204.0
10.7765539,106.6533297,10.7769836,106.6537251,64.0
10.7763253,106.6531092,10.7763806,106.6528986,23.0
10.7663638,106.698731,10.7652355,106.6985799,126.0
10.7757983,106.6549425,10.7764977,106.6563861,175.0
10.7785288,106.686545,10.7759463,106.6869866,291.0
10.7706475,106.704554,10.7718772,106.7057885,192.0
10.7761492,106.687907,10.7746878,106.6932328,604.0
10.7761492,106.687907,10.7759463,106.6869866,103.0
10.7689844,106.6616695,10.7697459,106.6613208,92.0
10.7707599,106.6924572,10.7746878,106.6932328,444.0
10.7778492,106.6537393,10.777345,106.6540856,67.0
10.7674029,106.6534428,10.7713124,106.6534525,434.0
10.7651275,106.6550805,10.7674029,106.6534428,309.0
